"","R1","R2","P","X1","X2","rep"
"89",0,0,0,0.05,0.13,9
"90",0,0,0,0.05,0.13,10
"91",0,0,0,0.05,0.14,1
"92",0,0,0,0.05,0.14,2
"93",0,0,0,0.05,0.14,3
"94",0,0,0,0.05,0.14,4
"95",0,0,0,0.05,0.14,5
"96",0,0,0,0.05,0.14,6
"97",0,0,0,0.05,0.14,7
"98",0,0,0,0.05,0.14,8
"99",0,0,0,0.05,0.14,9
"100",0,0,0,0.05,0.14,10
"101",0,0,0,0.05,0.15,1
"102",0,0,0,0.05,0.15,2
"103",0,0,0,0.05,0.15,3
"104",0,0,0,0.05,0.15,4
"105",0,0,0,0.05,0.15,5
"106",0,0,0,0.05,0.15,6
"107",0,0,0,0.05,0.15,7
"108",0,0,0,0.05,0.15,8
"109",0,0,0,0.05,0.15,9
"110",0,0,0,0.05,0.15,10
"111",0,0,0,0.05,0.16,1
"112",0,0,0,0.05,0.16,2
"113",0,0,0,0.05,0.16,3
"114",0,0,0,0.05,0.16,4
"115",0,0,0,0.05,0.16,5
"116",0,0,0,0.05,0.16,6
"117",0,0,0,0.05,0.16,7
"118",0,0,0,0.05,0.16,8
"119",0,0,0,0.05,0.16,9
"120",0,0,0,0.05,0.16,10
"121",0,0,0,0.05,0.17,1
"122",0,0,0,0.05,0.17,2
"123",0,0,0,0.05,0.17,3
"124",0,0,0,0.05,0.17,4
"125",0,0,0,0.05,0.17,5
"126",0,0,0,0.05,0.17,6
"127",0,0,0,0.05,0.17,7
"128",0,0,0,0.05,0.17,8
"129",0,0,0,0.05,0.17,9
"130",0,0,0,0.05,0.17,10
"131",0,0,0,0.05,0.18,1
"132",0,0,0,0.05,0.18,2
"133",0,0,0,0.05,0.18,3
"134",0,0,0,0.05,0.18,4
"135",0,0,0,0.05,0.18,5
"136",0,0,0,0.05,0.18,6
"137",0,0,0,0.05,0.18,7
"138",0,0,0,0.05,0.18,8
"139",0,0,0,0.05,0.18,9
"140",0,0,0,0.05,0.18,10
"141",0,0,0,0.05,0.19,1
"142",0,0,0,0.05,0.19,2
"143",0,0,0,0.05,0.19,3
"144",0,0,0,0.05,0.19,4
"145",0,0,0,0.05,0.19,5
"146",0,0,0,0.05,0.19,6
"147",0,0,0,0.05,0.19,7
"148",0,0,0,0.05,0.19,8
"149",0,0,0,0.05,0.19,9
"150",0,0,0,0.05,0.19,10
"151",0,0,0,0.05,0.2,1
"152",0,0,0,0.05,0.2,2
"153",0,0,0,0.05,0.2,3
"154",0,0,0,0.05,0.2,4
"155",0,0,0,0.05,0.2,5
"156",0,0,0,0.05,0.2,6
"157",0,0,0,0.05,0.2,7
"158",0,0,0,0.05,0.2,8
"159",0,0,0,0.05,0.2,9
"160",0,0,0,0.05,0.2,10
"161",0,0,0,0.05,0.21,1
"162",0,0,0,0.05,0.21,2
"163",0,0,0,0.05,0.21,3
"164",0,0,0,0.05,0.21,4
"165",0,0,0,0.05,0.21,5
"166",0,0,0,0.05,0.21,6
"167",0,0,0,0.05,0.21,7
"168",0,0,0,0.05,0.21,8
"169",0,0,0,0.05,0.21,9
"170",0,0,0,0.05,0.21,10
"171",0,0,0,0.05,0.22,1
"172",0,0,0,0.05,0.22,2
"173",0,0,0,0.05,0.22,3
"174",0,0,0,0.05,0.22,4
"175",0,0,0,0.05,0.22,5
"176",0,0,0,0.05,0.22,6
"177",0,0,0,0.05,0.22,7
"178",0,0,0,0.05,0.22,8
"179",0,0,0,0.05,0.22,9
"180",0,0,0,0.05,0.22,10
"181",0,0,0,0.05,0.23,1
"182",0,0,0,0.05,0.23,2
"183",0,0,0,0.05,0.23,3
"184",0,0,0,0.05,0.23,4
"185",0,0,0,0.05,0.23,5
"186",0,0,0,0.05,0.23,6
"187",0,0,0,0.05,0.23,7
"188",0,0,0,0.05,0.23,8
"189",0,0,0,0.05,0.23,9
"190",0,0,0,0.05,0.23,10
"191",0,0,0,0.05,0.24,1
"192",0,0,0,0.05,0.24,2
"193",0,0,0,0.05,0.24,3
"194",0,0,0,0.05,0.24,4
"195",0,0,0,0.05,0.24,5
"196",0,0,0,0.05,0.24,6
"197",0,0,0,0.05,0.24,7
"198",0,0,0,0.05,0.24,8
"199",0,0,0,0.05,0.24,9
"200",0,0,0,0.05,0.24,10
"201",0,0,0,0.05,0.25,1
"202",0,0,0,0.05,0.25,2
"203",0,0,0,0.05,0.25,3
"204",0,0,0,0.05,0.25,4
"205",0,0,0,0.05,0.25,5
"206",0,0,0,0.05,0.25,6
"207",0,0,0,0.05,0.25,7
"208",0,0,0,0.05,0.25,8
"209",0,0,0,0.05,0.25,9
"210",0,0,0,0.05,0.25,10
"211",0,0,0,0.05,0.26,1
"212",0,0,0,0.05,0.26,2
"213",0,0,0,0.05,0.26,3
"214",0,0,0,0.05,0.26,4
"215",0,0,0,0.05,0.26,5
"216",0,0,0,0.05,0.26,6
"217",0,0,0,0.05,0.26,7
"218",0,0,0,0.05,0.26,8
"219",0,0,0,0.05,0.26,9
"220",0,0,0,0.05,0.26,10
"221",0,0,0,0.05,0.27,1
"222",0,0,0,0.05,0.27,2
"223",0,0,0,0.05,0.27,3
"224",0,0,0,0.05,0.27,4
"225",0,0,0,0.05,0.27,5
"226",0,0,0,0.05,0.27,6
"227",0,0,0,0.05,0.27,7
"228",0,0,0,0.05,0.27,8
"229",0,0,0,0.05,0.27,9
"230",0,0,0,0.05,0.27,10
"231",0,0,0,0.05,0.28,1
"232",0,0,0,0.05,0.28,2
"233",0,0,0,0.05,0.28,3
"234",0,0,0,0.05,0.28,4
"235",0,0,0,0.05,0.28,5
"236",0,0,0,0.05,0.28,6
"237",0,0,0,0.05,0.28,7
"238",0,0,0,0.05,0.28,8
"239",0,0,0,0.05,0.28,9
"240",0,0,0,0.05,0.28,10
"241",0,0,0,0.05,0.29,1
"242",0,0,0,0.05,0.29,2
"243",0,0,0,0.05,0.29,3
"244",0,0,0,0.05,0.29,4
"245",0,0,0,0.05,0.29,5
"246",0,0,0,0.05,0.29,6
"247",0,0,0,0.05,0.29,7
"248",0,0,0,0.05,0.29,8
"249",0,0,0,0.05,0.29,9
"250",0,0,0,0.05,0.29,10
"251",0,0,0,0.05,0.3,1
"252",0,0,0,0.05,0.3,2
"253",0,0,0,0.05,0.3,3
"254",0,0,0,0.05,0.3,4
"255",0,0,0,0.05,0.3,5
"256",0,0,0,0.05,0.3,6
"257",0,0,0,0.05,0.3,7
"258",0,0,0,0.05,0.3,8
"259",0,0,0,0.05,0.3,9
"260",0,0,0,0.05,0.3,10
"261",0,0,0,0.05,0.31,1
"262",0,0,0,0.05,0.31,2
"263",0,0,0,0.05,0.31,3
"264",0,0,0,0.05,0.31,4
"265",0,0,0,0.05,0.31,5
"266",0,0,0,0.05,0.31,6
"267",0,0,0,0.05,0.31,7
"268",0,0,0,0.05,0.31,8
"269",0,0,0,0.05,0.31,9
"270",0,0,0,0.05,0.31,10
"271",0,0,0,0.05,0.32,1
"272",0,0,0,0.05,0.32,2
"273",0,0,0,0.05,0.32,3
"274",0,0,0,0.05,0.32,4
"275",0,0,0,0.05,0.32,5
"276",0,0,0,0.05,0.32,6
"277",0,0,0,0.05,0.32,7
"278",0,0,0,0.05,0.32,8
"279",0,0,0,0.05,0.32,9
"280",0,0,0,0.05,0.32,10
"281",0,0,0,0.05,0.33,1
"282",0,0,0,0.05,0.33,2
"283",0,0,0,0.05,0.33,3
"284",0,0,0,0.05,0.33,4
"285",0,0,0,0.05,0.33,5
"286",0,0,0,0.05,0.33,6
"287",0,0,0,0.05,0.33,7
"288",0,0,0,0.05,0.33,8
"289",0,0,0,0.05,0.33,9
"290",0,0,0,0.05,0.33,10
"291",0,0,0,0.05,0.34,1
"292",0,0,0,0.05,0.34,2
"293",0,0,0,0.05,0.34,3
"294",0,0,0,0.05,0.34,4
"295",0,0,0,0.05,0.34,5
"296",0,0,0,0.05,0.34,6
"297",0,0,0,0.05,0.34,7
"298",0,0,0,0.05,0.34,8
"299",0,0,0,0.05,0.34,9
"300",0,0,0,0.05,0.34,10
"301",0,0,0,0.05,0.35,1
"302",0,0,0,0.05,0.35,2
"303",0,0,0,0.05,0.35,3
"304",0,0,0,0.05,0.35,4
"305",0,0,0,0.05,0.35,5
"306",0,0,0,0.05,0.35,6
"307",0,0,0,0.05,0.35,7
"308",0,0,0,0.05,0.35,8
"309",0,0,0,0.05,0.35,9
"310",0,0,0,0.05,0.35,10
"311",0,0,0,0.05,0.36,1
"312",0,0,0,0.05,0.36,2
"313",0,0,0,0.05,0.36,3
"314",0,0,0,0.05,0.36,4
"315",0,0,0,0.05,0.36,5
"316",0,0,0,0.05,0.36,6
"317",0,0,0,0.05,0.36,7
"318",0,0,0,0.05,0.36,8
"319",0,0,0,0.05,0.36,9
"320",0,0,0,0.05,0.36,10
"321",0,0,0,0.05,0.37,1
"322",0,0,0,0.05,0.37,2
"323",0,0,0,0.05,0.37,3
"324",0,0,0,0.05,0.37,4
"325",0,0,0,0.05,0.37,5
"326",0,0,0,0.05,0.37,6
